2111;Ноггано;1658
2112;Влади;1674
2113;Хамиль;1674
2114;Шым;1674
2115;Змей;1674
2116;Дельфин;1682
2117;Полиграф ШарикOFF;1690
2118;Валентин Дядька;1693
2119;Нигатив;1697
2120;Джарахов;1698
2121;Adam Ant;1708
2122;Savoy;1709
2123;AronChupa;1712
2124;Sandra;1719
2125;Benny Benassi;1730
2126;The Communards;1738
2127;Jimmy Somerville;1738
2128;Stardust;1749
2129;Major Lazer;1758
2130;LSD;1758
2131;Redfoo;1798
2132;Sky Blu;1798
2133;Blue System;1812
2134;Systems In Blue;1812
2135;Arsenium;1825
2136;Dan Balan;1825
2137;Radu Sirbu;1825
2138;From First To Last;1848
2139;Axwell Λ Ingrosso;1855
2140;Supermode;1855
2141;Gary Numan;1871
2142;Форум;1883
2143;Электроклуб;1883
2144;Пара Нормальных;1888
2145;Юрий Шатунов;1890
