31;Как Львёнок и Черепаха пели песню;Олег Анофриев;Песенка Львёнка и Черепахи;1;0:2:7;Саундтреки
32;Карнавальная ночь;Людмила Гурченко;Песенка о хорошем настроении, Пять минут;2;0:5:59;Саундтреки
33;Катерок;Аида Ведищева, Анатолий Горохов;Чунга-Чанга;1;0:2:17;Саундтреки
34;Кортик;Станислав Пожлаков;Песня Красноармейца;1;0:1:59;Саундтреки
35;"Крокодил Гена; Чебурашка; Шапокляк";"Владимир Раутбарт; Владимир Ферапонтов; Владимир Ферапонтов";"Песня Шапокляк; Песенка Крокодила Гены; Голубой вагон";3;0:6:6;Саундтреки
36;Летучий корабль;Михаил Боярский, Гарри Бардин, Татьяна Шабельникова, Рогволд Суховерко;Ах, если бы сбылась моя мечта, Песня Вани;2;0:4:53;Саундтреки
37;Москва слезам не верит;Сергей Никитин, Татьяна Никитина;Александра;1;0:3:11;Саундтреки
38;Мэри Поппинс, до свидания;Максим Дунаевский, Павел Смеян, Наталья Ветлицкая, Светлана Степченко, Татьяна Воронина;Вальс, Воздушные шарики, Ожившее пианино, Парк, Прогулка, Салон мадам Корри, Увертюра, Непогода, 33 коровы, Ветер перемен, Леди Совершенство, Лев и Брадобрей, Цветные сны;13;0:35:13;Саундтреки
39;Новые приключения неуловимых;Ян Френкель;Погоня;1;0:3:10;Саундтреки
40;"Операция Ы и другие приключения Шурика; Кавказская пленница, или Новые приключения Шурика";"Юрий Никулин, Георгий Вицин, Аида Ведищева; Юрий Никулин";"Постой, паровоз, Песенка о медведях; Если б я был султан";3;0:9:25;Саундтреки
41;Остров сокровищ;Армен Джигарханян, Владимир Быстряков, Георгий Кишко, Григорий Толчинский, Фестиваль, Анна Лев;Финальная песня, На борту Эспаньолы, Рассказ Бена Ганна, История о мальчике Бобби, Вступление 1, Вступление 2, Песня о пользе спорта, Шанс!, Мы все - участники регаты, Песня о вреде курения, Песня о вреде пьянства, Песня о жадности, Фортуна-лотерея;13;0:30:17;Саундтреки
42;Приключения Буратино;Нина Бродская;Бу-ра-ти-но!!!;1;0:2:17;Саундтреки
43;Приключения Электроника;Владимир Басов, Елена Камбурова, Елена Шуенкова, Игорь Агафонников, Николай Караченцов;Песенка Стампа, Грустная песенка Сыроежкина, До чего дошёл прогресс, Мы - маленькие дети, Это что же такое, Бьют часы на старой башне, Заводные игрушки, Крылатые качели, Ты - человек, Это знает всякий, Песенка Урри;11;0:20:16;Саундтреки
44;Семнадцать мгновений весны;Иосиф Кобзон;Мгновения, Песня о далёкой Родине;2;0:5:53;Саундтреки
45;Три дня в Москве;Нина Бродская;Ты говоришь мне о любви;1;0:3:54;Саундтреки
46;Узник замка Иф;Александр Градский;Песня о грехе, Песня о золоте, Песня о Монте-Кристо, Песня о надежде, Песня о свободе, Песня о сумасшедших, Прощание;7;0:16:57;Саундтреки
47;Умка;Аида Ведищева;Колыбельная медведицы;1;0:2:3;Саундтреки
48;Утиные истории;Мурат Насыров;Утиные истории;1;0:1:0;Саундтреки
49;Холодное лето пятьдесят третьего;Владимир Мартынов;Финал;1;0:1:49;Саундтреки
50;Хроника пикирующего бомбардировщика;Станислав Пожлаков;Туман;1;0:2:25;Саундтреки
51;Чародеи;Лариса Долина, Ольга Рождественская, Добры Молодцы;Три белых коня, Песенка о снежинке;2;0:5:6;Саундтреки
52;Чёрный плащ;Мурат Насыров;Чёрный плащ;1;0:1:0;Саундтреки
53;Я шагаю по Москве;Никита Михалков;Я шагаю по Москве;1;0:2:10;Саундтреки
